name,link,language
Agence France-Presse,http://afp.com,"http://www.afp.com/en,http://blogs.afp.com/correspondent,http://www.citizenside.com,http://www.sos-afp.org"
Agência Brasil,,"http://agenciabrasil.ebc.com,http://agenciabrasil.ebc.com/en"
Australian Associated Press,http://aap.com.au/,"http://www.aap.com.au/,http://www.acma.gov.au/"
AKIpress news agency,http://www.akipress.org,"http://akipress.org/,http://akipress.com/,http://tazabek.kg/,http://barakelde.turmush.kg/"
Athens-Macedonian News Agency,http://www.amna.gr/,
EFE,http://www.efe.com,"http://www.efeverde.com,https://www.google.com/culturalinstitute/beta/partner/agencia-efe"
Agenzia Giornalistica Italia,http://www.agi.it,
Agerpres,http://www.agerpres.ro,http://125.agerpres.ro/agerpres125/english/historic
Agenzia Nazionale Stampa Associata,http://www.ansa.it,"https://web.archive.org/web/20081219063807/http://ansa.porta80.com.br/html/p_index.asp,https://web.archive.org/web/20081220133623/http://ansa.porta80.com.br/html/e_index.asp"
Agenția de presă RADOR,,http://www.rador.ro/
Catalan News Agency,http://www.catalannews.com,"http://llibreria.gencat.cat/product_info.php?products_id=4585,http://www.acn.cat,http://www.catalannewsagency.com/"
Associated Press of Pakistan,,http://www.app.com.pk/
Associated Press Service,,http://www.associatedpressservice.net
Polish Press Agency,http://www.pap.pl,
Associated Press,http://www.ap.org/,"http://www.ap.org,http://www.apimages.com/,https://www.apstylebook.com/,http://www.aparchive.com/,https://www.youtube.com/channel/UCHTK-2W11Vh1V4uwofOfR4w,https://www.aptra.com"
Asian News International,,http://www.aninews.in/
Armenpress,https://armenpress.am/,
Antara (news agency),http://www.antara.net.id/,"http://www.antaranews.com/,http://www.antarafoto.com/"
Yonhap,http://english.yonhapnews.co.kr/,http://www.yonhapnews.co.kr/
Xinhua News Agency,http://www.news.cn/english,"http://english.news.cn/,http://www.news.cn/,https://web.archive.org/web/20110920031145/http://www.edigear.com/search/index.php?ag=3"
Zuma Press,http://www.zumapress.com,
Via News Agency,http://via.news,
Vietnam News Agency,http://news.vnanet.vn,"http://en.vietnamplus.vn/,http://vnews.vnanet.vn/,http://Vietnamplus.vn/raovat/"
World Entertainment News Network,http://www.wenn.com/,
United Press International,http://upi.com,"//www.worldcat.org/oclc/39551960,//www.worldcat.org/oclc/19519378,//www.worldcat.org/oclc/7968758,http://www.upi.com,http://espanol.upi.com,http://www.upiu.com,http://www.downhold.org,http://www.downhold.org/lowry/,http://www.thedownholdproject.info,http://www.deadmicrophone.org"
United News of Bangladesh,,http://www.unbnews.org/
Ukrainian Independent Information Agency,http://www.unian.ua,"http://www.unian.info/,http://www.unian.net/"
United News of India,http://www.uniindia.com,"http://www.univarta.com/,http://www.uniurdu.com"
Turkmenistan State News Agency,,"http://tdh.gov.tm/ru/,http://tdh.gov.tm/en/,http://tdh.gov.tm/tm/"
Tidningarnas Telegrambyrå,http://tt.se/om-tt/in-english,
Télam,http://www.telam.com.ar/,http://www.telam.com.ar
Tanjug,http://www.tanjug.rs,
Tahitipresse,,"http://en.tahitipresse.pf/,http://www.tahitipresse.pf/,http://www.fenuanews.com/"
Syrian Arab News Agency,http://www.sana.sy/en/,"http://www.sana.sy/,http://www.sana.sy/fr/,http://www.sana.sy/he/,http://www.sana.sy/tr/,http://www.sana.sy/es/,http://www.sana.sy/ch,http://www.sana.sy/ru/,http://www.sana.sy/fa/"
Finnish News Agency,http://www.stt.fi/,
Slovenian Press Agency,http://www.sta.si,"http://www.o-sta.com,http://kr-og.sta.si"
Samachar Bharati,http://www.samacharbharti.in,http://www.samacharbharti.com/
Sipa USA,,http://sipausa.com
Swiss Telegraphic Agency,,http://www.sda.ch
Saudi Press Agency,http://www.spa.gov.sa/,"http://www.spa.gov.sa,http://www.edigear.com/search/index.php?ag=5"
Saba News Agency,,"http://www.saba.ye/,http://www.sabanew.net/"
